row,aggressors_activations,reads,median_of_time,bitflips
14430,4,2,42957,0
14431,4,2,30378,0
14432,4,2,30161,0
14433,4,2,45489,0
14434,4,2,38863,0
14435,4,2,42440,0
14436,4,2,45428,0
14437,4,2,30569,0
14438,4,2,45441,0
14439,4,2,37819,0
14440,4,2,27766,0
14441,4,2,45393,0
14442,4,2,38787,0
14443,4,2,28736,0
14444,4,2,30460,0
14445,4,2,45464,0
14446,4,2,43286,0
14447,4,2,28816,0
14448,4,2,35777,0
14449,4,2,45449,0
14450,4,2,41506,0
14451,4,2,34967,0
14452,4,2,30418,0
14453,4,2,45372,0
14454,4,2,45441,0
14455,4,2,45286,0
14456,4,2,44779,0
14457,4,2,45033,0
14458,4,2,44951,0
14459,4,2,44096,0
14460,4,2,44599,0
14461,4,2,44672,0
14462,4,2,42259,0
14463,4,2,27683,0
14464,4,2,31962,0
14465,4,2,45425,0
14466,4,2,43073,0
14467,4,2,44327,0
14468,4,2,45453,0
14469,4,2,43660,0
14470,4,2,45377,0
14471,4,2,29264,0
14472,4,2,35250,0
14473,4,2,45466,0
14474,4,2,38908,0
14475,4,2,32182,0
14476,4,2,34001,0
14477,4,2,45463,0
14478,4,2,38921,0
14479,4,2,30318,0
14480,4,2,34134,0
14481,4,2,45460,0
14482,4,2,38899,0
14483,4,2,35942,0
14484,4,2,31936,0
14485,4,2,43914,0
14486,4,2,45401,0
14487,4,2,36393,0
14488,4,2,30207,0
14489,4,2,45344,0
14490,4,2,39067,0
14491,4,2,32448,0
14492,4,2,30356,0
14493,4,2,37556,0
14494,4,2,41824,0
14495,4,2,42549,0
14496,4,2,42890,0
14497,4,2,35117,0
14498,4,2,36567,0
14499,4,2,43154,0
14000,4,4,32615,0
14001,4,4,29896,0
14002,4,4,32775,0
14003,4,4,31468,0
14004,4,4,29865,0
14005,4,4,36401,0
14006,4,4,28569,0
14007,4,4,29784,0
14008,4,4,42210,0
14009,4,4,44994,0
14010,4,4,42983,0
14011,4,4,37328,0
14012,4,4,28963,0
14013,4,4,25023,0
14014,4,4,29773,0
14015,4,4,30244,0
14016,4,4,31328,0
14017,4,4,42204,0
14018,4,4,33226,0
14019,4,4,37669,0
14020,4,4,31307,0
14021,4,4,37687,0
14022,4,4,28803,0
14023,4,4,31930,0
14024,4,4,37692,0
14025,4,4,37244,0
14026,4,4,30196,0
14027,4,4,36546,0
14028,4,4,32767,0
14029,4,4,35633,0
14030,4,4,43746,0
14031,4,4,44009,0
14032,4,4,45189,0
14033,4,4,44014,0
14034,4,4,44502,0
14035,4,4,45392,0
14036,4,4,30210,0
14037,4,4,9873,0
14038,4,4,30304,0
14039,4,4,32038,0
14040,4,4,45187,0
14041,4,4,45201,0
14042,4,4,36801,0
14043,4,4,37654,0
14044,4,4,9114,0
14045,4,4,27462,0
14046,4,4,31135,0
14047,4,4,35177,0
14048,4,4,37744,0
14049,4,4,35671,0
14050,4,4,45144,0
14051,4,4,27757,0
14052,4,4,36839,0
14053,4,4,22406,0
14054,4,4,30362,0
14055,4,4,29119,0
14056,4,4,29952,0
14057,4,4,31493,0
14058,4,4,29550,0
14059,4,4,35942,0
14060,4,4,36872,0
14061,4,4,44557,0
14062,4,4,42968,0
14063,4,4,32058,0
14064,4,4,29933,0
14065,4,4,30252,0
14066,4,4,39226,0
14067,4,4,44850,0
14068,4,4,42957,0
14069,4,4,43146,0
14070,4,4,31996,0
14071,4,4,37398,0
14072,4,4,30103,0
14073,4,4,10516,0
14074,4,4,32002,0
14075,4,4,30755,0
14076,4,4,45160,0
14077,4,4,33101,0
14078,4,4,35782,0
14079,4,4,20400,0
14080,4,4,8201,0
14081,4,4,44510,0
14082,4,4,29770,0
14083,4,4,9078,0
14084,4,4,27393,0
14085,4,4,25166,0
14086,4,4,31794,0
14087,4,4,29944,0
14088,4,4,9323,0
14089,4,4,37599,0
14090,4,4,35483,0
14091,4,4,34586,0
14092,4,4,30008,0
14093,4,4,37690,0
14094,4,4,35603,0
14095,4,4,26826,0
14096,4,4,9664,0
14097,4,4,45121,0
14098,4,4,35391,0
14099,4,4,30487,0
14100,4,4,42434,0
14101,4,4,45157,0
14102,4,4,37569,0
14103,4,4,10151,0
14104,4,4,37700,0
14105,4,4,45111,0
14106,4,4,39727,0
14107,4,4,27756,0
14108,4,4,12554,0
14109,4,4,32330,0
14110,4,4,36092,0
14111,4,4,36344,0
14112,4,4,34494,0
14113,4,4,37666,0
14114,4,4,34323,0
14115,4,4,28467,0
14116,4,4,36891,0
14117,4,4,33006,0
14118,4,4,30103,0
14119,4,4,26420,0
14120,4,4,34887,0
14121,4,4,36189,0
14122,4,4,37019,0
14123,4,4,34596,0
14124,4,4,29826,0
14125,4,4,30300,0
14126,4,4,37778,0
14127,4,4,8018,0
14128,4,4,25378,0
14129,4,4,33570,0
14130,4,4,25411,0
14131,4,4,30090,0
14132,4,4,26953,0
14133,4,4,30039,0
14134,4,4,34911,0
14135,4,4,28062,0
14136,4,4,45060,0
14137,4,4,40453,0
14138,4,4,45029,0
14139,4,4,44510,0
14140,4,4,33991,0
14141,4,4,24831,0
14142,4,4,10204,0
14143,4,4,45074,0
14144,4,4,42267,0
14145,4,4,28167,0
14146,4,4,31224,0
14147,4,4,45053,0
14148,4,4,43403,0
14149,4,4,45077,0
14150,4,4,35653,0
14151,4,4,35328,0
14152,4,4,38552,0
